experiment_type,preprocessing,model,best_params,cv_f1_macro_mean,cv_f1_macro_std,test_accuracy,test_precision_spam,test_recall_spam,test_f1_spam,test_f1_macro,test_f1_weighted
baseline,none,naive_bayes,"{""classifier__alpha"": 1.0, ""classifier__class_prior"": null, ""classifier__fit_prior"": true, ""classifier__force_alpha"": true, ""memory"": null, ""tfidf__analyzer"": ""word"", ""tfidf__binary"": false, ""tfidf__decode_error"": ""strict"", ""tfidf__encoding"": ""utf-8"", ""tfidf__input"": ""content"", ""tfidf__lowercase"": false, ""tfidf__max_df"": 0.95, ""tfidf__max_features"": 5000, ""tfidf__min_df"": 1, ""tfidf__ngram_range"": [1, 2], ""tfidf__norm"": ""l2"", ""tfidf__preprocessor"": null, ""tfidf__smooth_idf"": true, ""tfidf__stop_words"": null, ""tfidf__strip_accents"": null, ""tfidf__sublinear_tf"": true, ""tfidf__token_pattern"": ""(?u)\\b\\w\\w+\\b"", ""tfidf__tokenizer"": null, ""tfidf__use_idf"": true, ""tfidf__vocabulary"": null, ""transform_input"": null, ""verbose"": false}",0.5983835190146592,0.008094753660516386,0.7755410166079517,0.8011204481792717,0.25835591689250226,0.3907103825136612,0.6265704904548566,0.73102791118372
baseline,none,linear_svm,"{""classifier__C"": 1.0, ""classifier__class_weight"": null, ""classifier__dual"": ""auto"", ""classifier__fit_intercept"": true, ""classifier__intercept_scaling"": 1, ""classifier__loss"": ""squared_hinge"", ""classifier__max_iter"": 5000, ""classifier__multi_class"": ""ovr"", ""classifier__penalty"": ""l2"", ""classifier__random_state"": 42, ""classifier__tol"": 0.0001, ""classifier__verbose"": 0, ""memory"": null, ""tfidf__analyzer"": ""word"", ""tfidf__binary"": false, ""tfidf__decode_error"": ""strict"", ""tfidf__encoding"": ""utf-8"", ""tfidf__input"": ""content"", ""tfidf__lowercase"": false, ""tfidf__max_df"": 0.95, ""tfidf__max_features"": 5000, ""tfidf__min_df"": 1, ""tfidf__ngram_range"": [1, 2], ""tfidf__norm"": ""l2"", ""tfidf__preprocessor"": null, ""tfidf__smooth_idf"": true, ""tfidf__stop_words"": null, ""tfidf__strip_accents"": null, ""tfidf__sublinear_tf"": true, ""tfidf__token_pattern"": ""(?u)\\b\\w\\w+\\b"", ""tfidf__tokenizer"": null, ""tfidf__use_idf"": true, ""tfidf__vocabulary"": null, ""transform_input"": null, ""verbose"": false}",0.774688799338092,0.007538193547834445,0.8389531957725214,0.7568756875687569,0.6214995483288166,0.6825396825396826,0.7873251345941839,0.8337323805971838
baseline,none,random_forest,"{""classifier__bootstrap"": true, ""classifier__ccp_alpha"": 0.0, ""classifier__class_weight"": null, ""classifier__criterion"": ""gini"", ""classifier__max_depth"": null, ""classifier__max_features"": ""sqrt"", ""classifier__max_leaf_nodes"": null, ""classifier__max_samples"": null, ""classifier__min_impurity_decrease"": 0.0, ""classifier__min_samples_leaf"": 1, ""classifier__min_samples_split"": 2, ""classifier__min_weight_fraction_leaf"": 0.0, ""classifier__monotonic_cst"": null, ""classifier__n_estimators"": 100, ""classifier__n_jobs"": -1, ""classifier__oob_score"": false, ""classifier__random_state"": 42, ""classifier__verbose"": 0, ""classifier__warm_start"": false, ""memory"": null, ""tfidf__analyzer"": ""word"", ""tfidf__binary"": false, ""tfidf__decode_error"": ""strict"", ""tfidf__encoding"": ""utf-8"", ""tfidf__input"": ""content"", ""tfidf__lowercase"": false, ""tfidf__max_df"": 0.95, ""tfidf__max_features"": 5000, ""tfidf__min_df"": 1, ""tfidf__ngram_range"": [1, 2], ""tfidf__norm"": ""l2"", ""tfidf__preprocessor"": null, ""tfidf__smooth_idf"": true, ""tfidf__stop_words"": null, ""tfidf__strip_accents"": null, ""tfidf__sublinear_tf"": true, ""tfidf__token_pattern"": ""(?u)\\b\\w\\w+\\b"", ""tfidf__tokenizer"": null, ""tfidf__use_idf"": true, ""tfidf__vocabulary"": null, ""transform_input"": null, ""verbose"": false}",0.7355804438925018,0.009257246376695056,0.8218419728233518,0.8687615526802218,0.4245709123757904,0.5703883495145631,0.7290036985668054,0.7992510599991018
baseline,none,logistic_regression,"{""classifier__C"": 1.0, ""classifier__class_weight"": null, ""classifier__dual"": false, ""classifier__fit_intercept"": true, ""classifier__intercept_scaling"": 1, ""classifier__l1_ratio"": 0.0, ""classifier__max_iter"": 2000, ""classifier__n_jobs"": null, ""classifier__penalty"": ""deprecated"", ""classifier__random_state"": 42, ""classifier__solver"": ""lbfgs"", ""classifier__tol"": 0.0001, ""classifier__verbose"": 0, ""classifier__warm_start"": false, ""memory"": null, ""tfidf__analyzer"": ""word"", ""tfidf__binary"": false, ""tfidf__decode_error"": ""strict"", ""tfidf__encoding"": ""utf-8"", ""tfidf__input"": ""content"", ""tfidf__lowercase"": false, ""tfidf__max_df"": 0.95, ""tfidf__max_features"": 5000, ""tfidf__min_df"": 1, ""tfidf__ngram_range"": [1, 2], ""tfidf__norm"": ""l2"", ""tfidf__preprocessor"": null, ""tfidf__smooth_idf"": true, ""tfidf__stop_words"": null, ""tfidf__strip_accents"": null, ""tfidf__sublinear_tf"": true, ""tfidf__token_pattern"": ""(?u)\\b\\w\\w+\\b"", ""tfidf__tokenizer"": null, ""tfidf__use_idf"": true, ""tfidf__vocabulary"": null, ""transform_input"": null, ""verbose"": false}",0.7617985804959002,0.01081271217164013,0.8475088072471062,0.8513323983169705,0.5483288166214996,0.667032967032967,0.7840713138036898,0.8359051060322937
baseline,basic,naive_bayes,"{""classifier__alpha"": 1.0, ""classifier__class_prior"": null, ""classifier__fit_prior"": true, ""classifier__force_alpha"": true, ""memory"": null, ""tfidf__analyzer"": ""word"", ""tfidf__binary"": false, ""tfidf__decode_error"": ""strict"", ""tfidf__encoding"": ""utf-8"", ""tfidf__input"": ""content"", ""tfidf__lowercase"": false, ""tfidf__max_df"": 0.95, ""tfidf__max_features"": 5000, ""tfidf__min_df"": 1, ""tfidf__ngram_range"": [1, 2], ""tfidf__norm"": ""l2"", ""tfidf__preprocessor"": null, ""tfidf__smooth_idf"": true, ""tfidf__stop_words"": null, ""tfidf__strip_accents"": null, ""tfidf__sublinear_tf"": true, ""tfidf__token_pattern"": ""(?u)\\b\\w\\w+\\b"", ""tfidf__tokenizer"": null, ""tfidf__use_idf"": true, ""tfidf__vocabulary"": null, ""transform_input"": null, ""verbose"": false}",0.5972157932553728,0.00724663224716682,0.7798188223452441,0.8118279569892473,0.2728093947606143,0.4083840432724814,0.6365617851236421,0.7376168494563153
baseline,basic,linear_svm,"{""classifier__C"": 1.0, ""classifier__class_weight"": null, ""classifier__dual"": ""auto"", ""classifier__fit_intercept"": true, ""classifier__intercept_scaling"": 1, ""classifier__loss"": ""squared_hinge"", ""classifier__max_iter"": 5000, ""classifier__multi_class"": ""ovr"", ""classifier__penalty"": ""l2"", ""classifier__random_state"": 42, ""classifier__tol"": 0.0001, ""classifier__verbose"": 0, ""memory"": null, ""tfidf__analyzer"": ""word"", ""tfidf__binary"": false, ""tfidf__decode_error"": ""strict"", ""tfidf__encoding"": ""utf-8"", ""tfidf__input"": ""content"", ""tfidf__lowercase"": false, ""tfidf__max_df"": 0.95, ""tfidf__max_features"": 5000, ""tfidf__min_df"": 1, ""tfidf__ngram_range"": [1, 2], ""tfidf__norm"": ""l2"", ""tfidf__preprocessor"": null, ""tfidf__smooth_idf"": true, ""tfidf__stop_words"": null, ""tfidf__strip_accents"": null, ""tfidf__sublinear_tf"": true, ""tfidf__token_pattern"": ""(?u)\\b\\w\\w+\\b"", ""tfidf__tokenizer"": null, ""tfidf__use_idf"": true, ""tfidf__vocabulary"": null, ""transform_input"": null, ""verbose"": false}",0.7775815930721356,0.012628289405606615,0.8387015601409159,0.7538126361655774,0.6251129177958447,0.6834567901234568,0.7876173027098796,0.8337477763264132
baseline,basic,random_forest,"{""classifier__bootstrap"": true, ""classifier__ccp_alpha"": 0.0, ""classifier__class_weight"": null, ""classifier__criterion"": ""gini"", ""classifier__max_depth"": null, ""classifier__max_features"": ""sqrt"", ""classifier__max_leaf_nodes"": null, ""classifier__max_samples"": null, ""classifier__min_impurity_decrease"": 0.0, ""classifier__min_samples_leaf"": 1, ""classifier__min_samples_split"": 2, ""classifier__min_weight_fraction_leaf"": 0.0, ""classifier__monotonic_cst"": null, ""classifier__n_estimators"": 100, ""classifier__n_jobs"": -1, ""classifier__oob_score"": false, ""classifier__random_state"": 42, ""classifier__verbose"": 0, ""classifier__warm_start"": false, ""memory"": null, ""tfidf__analyzer"": ""word"", ""tfidf__binary"": false, ""tfidf__decode_error"": ""strict"", ""tfidf__encoding"": ""utf-8"", ""tfidf__input"": ""content"", ""tfidf__lowercase"": false, ""tfidf__max_df"": 0.95, ""tfidf__max_features"": 5000, ""tfidf__min_df"": 1, ""tfidf__ngram_range"": [1, 2], ""tfidf__norm"": ""l2"", ""tfidf__preprocessor"": null, ""tfidf__smooth_idf"": true, ""tfidf__stop_words"": null, ""tfidf__strip_accents"": null, ""tfidf__sublinear_tf"": true, ""tfidf__token_pattern"": ""(?u)\\b\\w\\w+\\b"", ""tfidf__tokenizer"": null, ""tfidf__use_idf"": true, ""tfidf__vocabulary"": null, ""transform_input"": null, ""verbose"": false}",0.738540443827393,0.005997904054148832,0.8326623049823855,0.8946428571428572,0.45257452574525747,0.6010797840431914,0.7476024616761093,0.8124942363701041
baseline,basic,logistic_regression,"{""classifier__C"": 1.0, ""classifier__class_weight"": null, ""classifier__dual"": false, ""classifier__fit_intercept"": true, ""classifier__intercept_scaling"": 1, ""classifier__l1_ratio"": 0.0, ""classifier__max_iter"": 2000, ""classifier__n_jobs"": null, ""classifier__penalty"": ""deprecated"", ""classifier__random_state"": 42, ""classifier__solver"": ""lbfgs"", ""classifier__tol"": 0.0001, ""classifier__verbose"": 0, ""classifier__warm_start"": false, ""memory"": null, ""tfidf__analyzer"": ""word"", ""tfidf__binary"": false, ""tfidf__decode_error"": ""strict"", ""tfidf__encoding"": ""utf-8"", ""tfidf__input"": ""content"", ""tfidf__lowercase"": false, ""tfidf__max_df"": 0.95, ""tfidf__max_features"": 5000, ""tfidf__min_df"": 1, ""tfidf__ngram_range"": [1, 2], ""tfidf__norm"": ""l2"", ""tfidf__preprocessor"": null, ""tfidf__smooth_idf"": true, ""tfidf__stop_words"": null, ""tfidf__strip_accents"": null, ""tfidf__sublinear_tf"": true, ""tfidf__token_pattern"": ""(?u)\\b\\w\\w+\\b"", ""tfidf__tokenizer"": null, ""tfidf__use_idf"": true, ""tfidf__vocabulary"": null, ""transform_input"": null, ""verbose"": false}",0.7616404099978512,0.010074883692560507,0.8429793658782083,0.8340248962655602,0.5447154471544715,0.659016393442623,0.778511138859265,0.8314328177554124
baseline,advanced,naive_bayes,"{""classifier__alpha"": 1.0, ""classifier__class_prior"": null, ""classifier__fit_prior"": true, ""classifier__force_alpha"": true, ""memory"": null, ""tfidf__analyzer"": ""word"", ""tfidf__binary"": false, ""tfidf__decode_error"": ""strict"", ""tfidf__encoding"": ""utf-8"", ""tfidf__input"": ""content"", ""tfidf__lowercase"": false, ""tfidf__max_df"": 0.95, ""tfidf__max_features"": 5000, ""tfidf__min_df"": 1, ""tfidf__ngram_range"": [1, 2], ""tfidf__norm"": ""l2"", ""tfidf__preprocessor"": null, ""tfidf__smooth_idf"": true, ""tfidf__stop_words"": null, ""tfidf__strip_accents"": null, ""tfidf__sublinear_tf"": true, ""tfidf__token_pattern"": ""(?u)\\b\\w\\w+\\b"", ""tfidf__tokenizer"": null, ""tfidf__use_idf"": true, ""tfidf__vocabulary"": null, ""transform_input"": null, ""verbose"": false}",0.5745600281111781,0.005055048396166371,0.7657272269753397,0.8076923076923077,0.2086720867208672,0.3316582914572864,0.59481465297502,0.7113610033200656
baseline,advanced,linear_svm,"{""classifier__C"": 1.0, ""classifier__class_weight"": null, ""classifier__dual"": ""auto"", ""classifier__fit_intercept"": true, ""classifier__intercept_scaling"": 1, ""classifier__loss"": ""squared_hinge"", ""classifier__max_iter"": 5000, ""classifier__multi_class"": ""ovr"", ""classifier__penalty"": ""l2"", ""classifier__random_state"": 42, ""classifier__tol"": 0.0001, ""classifier__verbose"": 0, ""memory"": null, ""tfidf__analyzer"": ""word"", ""tfidf__binary"": false, ""tfidf__decode_error"": ""strict"", ""tfidf__encoding"": ""utf-8"", ""tfidf__input"": ""content"", ""tfidf__lowercase"": false, ""tfidf__max_df"": 0.95, ""tfidf__max_features"": 5000, ""tfidf__min_df"": 1, ""tfidf__ngram_range"": [1, 2], ""tfidf__norm"": ""l2"", ""tfidf__preprocessor"": null, ""tfidf__smooth_idf"": true, ""tfidf__stop_words"": null, ""tfidf__strip_accents"": null, ""tfidf__sublinear_tf"": true, ""tfidf__token_pattern"": ""(?u)\\b\\w\\w+\\b"", ""tfidf__tokenizer"": null, ""tfidf__use_idf"": true, ""tfidf__vocabulary"": null, ""transform_input"": null, ""verbose"": false}",0.7598676680214899,0.004917368841832644,0.8276295923502768,0.7442129629629629,0.5808491418247516,0.6524606798579401,0.7689273451155185,0.8205079517721209
